,artist,name,popularity,genre,lyrics
7,Blasterjaxx,Hide Away (feat. Envy Monroe),0,edm,dont run away its getting colder our hearts unite were getting closer you and i can be anything kings and queens just hold on to me up we go lets dance away until we up and go this is how we play when we go up and go were never gonna stop were never gonna stop dont you take this night away i can be your hideaway we our lovers til the end if you let me inside again if youre holding the clouds i promise i will stay dont you take this night away i can be i can be your hideaway im looking out for a moment counting stars over and over i believe we can be anything kings and queens if you hold on to me up we go lets dance away until we up and go this is how we play when we go up and go were never gonna stop were never gonna stop dont you take this night away i can be your hideaway we our lovers til the end if you let me inside again if youre holding the clouds i promise i will stay dont you take this night away i can be i can be your hideaway i can be your hideaway dont run away its getting colder our hearts unite were getting closer you and i can be anything kings and queens just hold on to me up we go lets dance away until we up and go this is how we play when we go up and go were never gonna stop were never gonna stop dont you take this night away i can be your hideaway we our lovers til the end if you let me inside again if youre holding the clouds i promise i will stay dont you take this night away i can be i can be your hideaway im looking out for a moment counting stars over and over i believe we can be anything kings and queens if you hold on to me up we go lets dance away until we up and go this is how we play when we go up and go were never gonna stop were never gonna stop dont you take this night away i can be your hideaway we our lovers til the end if you let me inside again if youre holding the clouds i promise i will stay dont you take this night away i can be i can be your hideaway i can be your hideaway
23,Sevyn Streeter,It Won't Stop (feat. Chris Brown) - Julian Calor Remix,0,edm,i love when you pulling up in your jeep pumping all your beats js on with your shades on just to bring me something to eat you the man up in these streets but when it comes to my heart that dont mean a thing no baby hop up in my ride ooh its hot as hell outside got the top down with the doors closed put your hand on my thigh drive slow ooh take your time every little thing you do got me feeling some type of way way when you gimme that thunder you make my summer rain ohohoh oh oh ohohoh oh oh everyday everyday and it wont stop boom boom booooomm and it wont stop boom boom boooooomm yeah with every single part of me my love for you is constantly forever and ever on repeat on repeat and it wont stop boom boom boommmm i love when we pulling up to the beach sand down in my feet sun down nobody around thats one hell of a scene you rockin my body rock rock the boat aaliyah dont it sound familar cause it feels like ah ah aye aye lookin up in spaace just me and my babe and it feels so amaazing oh oh all night every little thing you do got me feeling some type of way way when you gimme that thunder you make my summer rain ohohoh oh oh ohohoh oh oh everyday everyday and it wont stop boom boom booooomm and it wont stop boom boom boooooomm yeah with every single part of me my love for you is constantly forever and ever on repeat on repeat and it wont stop boom boom boommmm everyday everyday i cant breathe you take my breath away from me heres my heart you got the key put that on eternity i love you til infinity infinity infinity infinity infinity my everything my everything and when i think about it be making me weak baby it wont ever stop my heart wont skip a beat baby and itll keep going on going on going on and it wont stop boom boom booooomm and it wont stop boom boom boooooomm yeah with every single part of me my love for you is constantly forever and ever on repeat on repeat and it wont stop boom boom boommmm
29,Calum Scott,Dancing On My Own - Tiësto Remix,0,edm,somebody said you got a new friend but does she love you better than i can and theres a big black sky over my town i know where youre at i bet shes around and yeah i know its stupid but i just gotta see it for myself im in the corner watching you kiss her oh oh oh and im right over here why cant you see me oh oh oh and im giving it my all but im not the guy youre taking home oooh i keep dancing on my own i just wanna dance all night and im all messed up im so out of line yeah stilettos and broken bottles im spinning around in circles and im in the corner watching you kiss her oh oh oh and im right over here why cant you see me oh oh oh and im giving it my all but im not the guy youre taking home ooh i keep dancing on my own and oh nah so far away but still so near the lights come on the music dies but you dont see me standing here i just came to say goodbye im in the corner watching you kiss her ohh and im giving it my all but im not the guy youre taking home oooh i keep dancing on my own and oh nah said im in the corner watching you kiss her oh​ no and im right over here why cant you see me oh no and im giving it my all but im not the guy youre taking home ooh and i keep dancing on my own so far away but still so near the lights come on the music dies but you dont see me standing here
46,Joakim Molitor,Always Gonna Say Sorry,0,edm,i always say sorry but that word dont mean nothin go world go away hurry theres no way i can change run away baby you always say somethin tryna lead my way but its just way too late so ya wastin time bein mine go your own way why dont you just say it babe say it to my face no i dont feel ashamed when you look at me the way no im never gonna change sorry theres no point in tryna pretend oh its just not worth it no longer fall back and ill do it again then im always gonna say sorry then im always gonna say sorry it dont make sense does it to try again cuz this feels like the end for us no more games have to play lets just be honest why dont you just say it babe say it to my face no i dont feel ashamed when you look at me the way no im never gonna change sorry theres no point in tryna pretend oh its just not worth it no longer fall back and ill do it again then im always gonna say sorry then im always gonna say sorry theres no point in tryna pretend oh its just not worth it no longer fall back and ill do it again and im always gonna say sorry theres no point in tryna pretend oh its just not worth it no longer fall back and ill do it again then im always gonna say sorry then im always gonna say sorry
58,Mr. Probz,Nothing Really Matters - Afrojack Remix,0,edm,when shes ok then im alright when shes awake im up all night and nothing really matters nothing really matters i see her face and in my mind i seize the day whenever shes nearby its like nothing really matters no nothing really matters she completes me its how she reads me right or wrong its so clear shes all that i need all i need yeah i know what it feels like i know what it feels like swimming through the stars when i see her and i dont need air because i breathe her i know what it feels like i know what it feels like yeah i breathe her breathe her every time i see her every time i see her when im lost and need a sign she leads the way and ill be fine and nothing really matters nothing really matters she completes me its how she reads me right or wrong its so clear shes all that i need all i need yeah i know what it feels like i know what it feels like swimming through the stars when i see her and i dont need air because i breathe her i know what it feels like i know what it feels like yeah i breathe her breathe her every time i see her every time i see her every time i see her every time i see her when shes ok then im alright when shes awake im up all night and nothing really matters nothing really matters
66,Mishaal,Stray Lines,0,edm,shit dont matter we just walking through a memory baby im nauseous and maybe i caused this its all from me walking through the stray lines shit dont matter we just thinking all that we can keep baby im cautious im all out of options im no good for me walking through the stray lines you said its dark in the sunlight i kept you close in the moonlight you saw no stars in the night time i saw no sun but its alright darling you know that here i belong shit dont matter we just walking through a memory baby im nauseous and maybe i caused this its all from me walking through the stray lines shit dont matter we just thinking all that we can keep baby im cautious im all out of options im no good for me walking through the stray lines sick of being tired so run around the fire ill burn myself to ashes just trying to get me higher sick of being sorry so empty out my worries till were all in a hurry but dont know where were going sick of being tired so run around the fire ill burn myself to ashes just trying to get me higher sick of being sorry so empty out my worries till were all in a hurry but dont know where were going shit dont matter we just walking through a memory baby im nauseous and maybe i caused this its all from me walking through the stray lines shit dont matter we just thinking all that we can keep baby im cautious im all out of options im no good for me walking through the stray lines
71,Galantis,Smile - Years Remix,0,edm,smile show me where it hurts cause you aint got nothing to worry about i said smile no matter what you heard theres a paler shade of grey my friend so smile cause you aint got nothing to worry about anything at all you dont know anything at all so smile cause you aint got nothing to worry about anything at all you dont know anything at all smile cause you aint got nothing to worry about anything at all you dont know anything at all smile i said smile smile i said smile smile so smile cause you aint got nothing to worry about anything at all you dont know anything at all smile cause you aint got nothing to worry about anything at all you dont know anything at all smile so smile i said smile smile i said smile
73,CASS,Don't Look Down (feat. Blake Young),0,edm,mama told me the truth daddy aint make me to lose yeah i know i see the news but she gave me some different views thats why we speak today giving strength to the weak today be free today just wanna help you see the way dont look down take that leap of faith i got a new life i got a new light thats in my eyes its no surprise my hope is coming from the skies look around my feet is almost off the ground i heard that trumpet sound and now im never looking down my mama told me always keep your head up dont look down my mama told me always keep your head up dont look down take a good look ahead see beyond what you see live your life instead go nowhere but up from here always keep your head up dont look down dont look down where you tend to look is where you tend to go reaching for the stars through this telescope looking all the way up cause you know whats above theres no point looking down i got a new life i got a new light thats in my eyes its no surprise my hope is coming from the skies look around my feet is almost off the ground i heard that trumpet sound and now im never looking down my mama told me always keep your head up dont look down my mama told me always keep your head up dont look down take a good look ahead see beyond what you see live your life instead go nowhere but up from here always keep your head up dont look down dont look down i got a new life i got a new light thats in my eyes its no surprise my hope is coming from the skies look around my feet is almost off the ground i heard that trumpet sound and now im never looking nevernever looking take a good look ahead see beyond what you see live your life instead go nowhere but up from here always keep your head up dont look down dont look down
74,Dimitri Vegas & Like Mike,Unity,0,edm,front to the back front to the back front to the back front to the back front to the back front to the back front to the back front to the back front front front front front front front front and we make the beat go front to the back front to the back front to the back front to the back front to the back front to the back front to the back front to the back front front front front front front front front and we make the beat go front to the back front to the back front to the back front to the back front to the back front to the back front to the back front to the back front front front front front front front front front front front front and we make the beat go front to the back front to the back front to the back front to the back front to the back front to the back front to the back front to the back front front front front front front front front and we make the beat go front to the back front to the back front to the back front to the back front to the back front to the back front to the back front to the back front front front front front front front front and we make the beat go front to the back front to the back front to the back front to the back front to the back front to the back front to the back front to the back front front front front front front front front front front front front and we make the beat go front to the back front to the back front to the back front to the back front to the back front to the back front to the back front to the back front front front front front front front front and we make the beat go front to the back front to the back front to the back front to the back front to the back front to the back front to the back front to the back front front front front front front front front and we make the beat go front to the back front to the back front to the back front to the back front to the back front to the back front to the back front to the back front front front front front front front front front front front front and we make the beat go
76,R3HAB,This Is How We Party (with Icona Pop),0,edm,i jump the line and youre always waiting for me its who i am and youre in my territory i go go go we get it on yeah im chemical just getting started get low low low its all that you wanted you got what you wanted dont you know that this is how we party foolin with your body come on everybody you cant get enough of me this is how we party foolin with your body dont know how it started you cant get enough of me you cant get enough of me you cant get enough of me dont waste my time follow me now or never follow me now or never just close your eyes to see whats inside together i go go go we get it on yeah im chemical just getting started get low low low its all that you wanted you got what you wanted dont you know that this is how we party foolin with your body come on everybody you cant get enough of me this is how we party foolin with your body dont know how it started you cant get enough of me you cant get enough of me you cant get enough of me this is how we party foolin with your body come on everybody you cant get enough of me this is how we party foolin with your body dont know how it started you cant get enough of me
