,artist,name,popularity,genre,lyrics
22,Manu Chao,Bongo Bong,0,latin,mama was queen of the mambo papa was king of the congo deep down in the jungle i start bangin my first bongo every monkeyd like to be in my place instead of me cause im the king of bongo baby im the king of bongo bong i went to the big town where there is a lot of sound from the jungle to the city looking for a bigger crown so i play my boogie for the people of big city but they dont go crazy when im bangin on my boogie im the king  kthe bongo king of the bongo bong hear me when i come baby king of the bongo king of the bongo bong nobo dyd like to be in my place instead of me cause nobody go crazy when im bangin on my boogie im a king without a crown hanging loose in a big town but im the king of bongo baby im the king of bongo bong king of the bongo king of the bongo bong hear me when i come baby king of the bongo king of the bongo bong hear me when i come they say that im a clown making too much dirty sound they say there is no place for little monkey in this town nobodyd like to be in my place instead of me cause nobody go crazy when im bangin on my boogie im the king  kthe bongo king of the bongo bong hear me when i come baby king of the bongo king of the bongo bong hear me when i come bangin on my bongo all that swing belongs to me im so happy theres nobody in my place instead of me im a king without a crown hanging loose in a big town im the king of bongo baby im the king of bongo bong king of the bongo king of the bongo bong hear me when i come baby king of the bongo king of the bongo bong hear me when i come mama was queen of the mambo papa was king of the congo deep down in the jungle i start bangin my first bongo every monkeyd like to be in my place instead of me cause im the king of bongo baby im the king of bongo bong hear me when i come je ne taime plus mon amour je ne taime plus tous les jours je ne taime plus mon amour je ne taime plus tous les jours parfois jaimerais mourir tellement jai voulu croire parfois jaimerais mourir pour ne plus rien avoir parfois jaimerais mourir pour plus jamais te voir parfois jaimerais mourir tellement ya plus despoir parfois jaimerais mourir pour plus jamais te revoir parfois jaimerais mourir pour ne plus rien savoir je ne taime plus mon amour je ne taime plus tous les jours je ne taime plus mon amour je ne taime plus tous les jours
31,Lost Frequencies,Beautiful Life,0,latin,anywhere you are and youll go i follow mountain high and river low i follow take me to the bottom drive me in low wherever you go mountain high and river low i follow its a beautiful beautiful life beautiful beautiful life beautiful beautiful life with you anywhere you are and youll go i follow mountain high and river low i follow take me to the bottom drive me in low wherever you go mountain high and river low i follow beautiful beautiful life beautiful beautiful life beautiful beautiful life with you anywhere she wants to go
32,P!nk,Try,0,latin,ever wonder about what hes doing how it all turned to lies sometimes i think﻿ that its better to never ask why where there is desire there is gonna be a flame where there is a flame someones bound to get burned but just because it burns doesnt mean youre gonna die youve gotta get up and try try try gotta get up and try try try you gotta get up and try try try eh eh eh funny how the heart can be deceiving more than just a couple times why do we fall in love so easy even when its not right where there is desire there is gonna be a flame where there is a flame someones bound to get burned but just because it burns doesnt mean youre gonna die youve gotta get up and try try try gotta get up and try try try you gotta get up and try try try ever worried that it might be ruined and does it make you wanna cry when youre out there doing what youre doing are you just getting by tell me are you just getting by by by where there is desire there is gonna be a flame where there is a flame someones bound to get burned but just because it burns doesnt mean youre gonna die youve gotta get up and try try try gotta get up and try try try you gotta get up and try try try gotta get up and try try try gotta get up and try try try you gotta get up and try try try gotta get up and try try try you gotta get up and try try try gotta get up and try try try
41,Trinere,I'll Be All You'll Ever Need,0,latin,popularity  275 users have visited this page sponsored links i see you contemplating your confused so im waiting so why dont you make your move on me the feelings you hide i feel deep inside when your near were both in a crowd your thinking aloud and i hear you cant deny no no no whats in your eyes in your eyes its plain to see you want to be my guy chorus ill be all you ever need satisfaction guaranteed if you give me half a chance ill be your girl ill be all you ever need satisfaction guaranteed if you give me half a chance ill rock your world everytime we meet its the same old thing incomplete thoughts are all you bring so boy reveal what is on your mind your so insecure but ill make you sure with my love and when i am done ill be the one you think of you cant deny no no no whats in your eyes in your eyes its plain to see you want to be my guy chorus
48,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,0,latin,kid ink egh i think i found a genie in a bottle baby with a bottle shape and she dont have no problem representing for the team ok its feeling like i just hit the lotto baby 322634 wasted watch her do a dance then it get me in the game going hard in the paint whats my name whats my name girl you know i be missing that bombom when im away i swear when you shaking them pompoms all i can say is oh i think that i found myself a cheerleader she is always right there when i need her oh i think that i found myself a cheerleader she is always right there when i need her when i need motivation my one solution is my queen cause she stay strong yeah yeah she is always in my corner right there when i want her all these other girls are tempting but im empty when youre gone and they say do you need me do you think im pretty do i make you feel like cheating and im like no not really cause oh i think that i found myself a cheerleader she is always right there when i need her oh i think that i found myself a cheerleader she is always right there when i need her ahh i need her right here where she need to be complimenting my style youre flyer with the captain of the team now move right right there hit reverse girl and back that rear roll it with me and then light that up and the rest is history write that book my cheerleader something about her demeanor even though im off these margaritas cant none of these hoes here come between us shorty no regular chick so i just take her to places she aint know exist so she never forget who the man is she gives me love and affection baby did i mention youre the only girl for me no i dont need a next one mama loves you too she thinks i made the right selection now all thats left to do is just for me to pop the question oh i think that i found myself a cheerleader she is always right there when i need her oh i think that i found myself a cheerleader she is always right there when i need her i needright right there i needright right there i needright right there right right there
142,Gloria Estefan,I See Your Smile,0,latin,i get a little tongue twisted every time i talk to you when i see you and im so glad that you just missed it the way i stare to memorize your face to kiss you in my mind love you all the time cause when i close my eyes i still can see your smile its bright enough to light my life out of my darkest hour please believe its true when i tell you i love you ive taken too many chances searching for the truth of love thats in my heart tell me if ive made the wrong advances tell me if ive made you feel ashamed cause i know i have to do this would you hold my hand right through it cause when i close my eyes i still can see your smile its bright enough to light my life out of my darkest hour please believe its true when i tell you i love you oh oh had to let you just what would happen yes i had to let you know the truth i know ive got to do this would you hold my hand right through it would you cause when i close my eyes i still can see your smile its bright enough to light my life out of my darkest hour cause when i close my eyes i still can see your smile its bright enough to light my life out of my darkest hour you know now this is true when i tell you i love you
214,OMI,Drop In the Ocean,0,latin,na waiting here patiently for you to say that you sent him on his way you sent him on his way and i know youre worried been tossing and turning its keeping you awake thinking it was a mistake but its time you knew he was no good had to let him go youll be fine just reach out your hand now you got mine to hold im telling you that ooh we were meant to be darling cant you see that im your whole wide world and hes a drop in the ocean ooh wouldnt you agree im the only ship thats sailing on your sea and hes a drop in the ocean hes a drop in the ocean huh a drop in the ocean huh a drop in the ocean hes a drop in the ocean na see what the earth brings and dont sweat the small things its gonna be alright its gonna be alright its only a moment just keep moving forward and imma make you mine yeah imma make you mine but its time you knew he was no good had to let him go youll be fine just reach out your hand now you got mine to hold im telling you that ooh we were meant to be darling cant you see that im your whole wide world and hes a drop in the ocean ooh wouldnt you agree im the only ship thats sailing on your sea and hes a drop in the ocean hes a drop in the ocean im telling you that ooh we were meant to be darling cant you see that im your whole wide world and hes a drop in the ocean ooh wouldnt you agree im the only ship thats sailing on your sea and hes a drop in the ocean hes a drop in the ocean ha yeah
229,Gloria Estefan,Dr. Beat,0,latin,emergency paging dr beat emergency doctor ive got this feeling deep inside of me deep inside of me i just cant control my feet when i hear the beat when i hear the beat hey doctor could you give me something to ease the pain to ease the pain cause if you dont help me soon im gonna lose my brain gonna go insane i just dont know dont know how im gonna deal with you doc doc doc doc doctor beat i just dont know dont know wont you help me drbeat doc doc doc doc doctor beat wont you help me dr beat doc doc doc doc doctor beat wont you help me dr beat doc doc doc doc doctor beat wont you help me dr beat say say say doctor ive got this fever that i cant control that i cant control music makes me move my body makes me move my soul makes me move my soul doc you better give me something cause im burning up yes im burning up doc youve got to find a cure or were gonna die yes were gonna die i just dont know dont know how im gonna deal with you doc doc doc doc doctor beat i just dont know dont know wont you help me drbeat doc doc doc doc doctor beat wont you help me drbeat doc doc doc doc doctor beat doctor doctor wont you please help me you gotta help me you gotta help me if you got trouble cant stop your feet pay a little visit to doctor beat doctor doctor wont you please help me you gotta help me you gotta help me doc doc doc doc doctor beat if you got trouble cant stop your feet pay a little visit to doctor beat doc doc doc doc doctor beat you gotta help me you gotta help me wont you doc doc doc doc doctor beat wont you please help me doc doc doc doc doctor beat wont you doc doc doc doc doctor beat doctor doctor wont you please help me
247,Maffio,Celebration (feat. Ky-Mani Marley),0,latin,na uhuhuh uhuh uhuhuh uhuh a mí que no me traigan flore ¡blep cuando yo muera no quiero que lloren  ¡blep lloren quiero que me pongan las cancione cione con las que yo disfrutaba y jodía con cojone y que beban a nombre mío pero dale prendan ese blunt blunt  y que mi nombre mantengan vivo súbele el volumen a está canciónción uh dry your eyes for me no tears for me just smile out dry your eyes for me celebrate my life make this a celebration celebration for life make this a celebration celebration for life its gonna be alright alright alright alright alright alright its gonna be alright alright alright alright pupum alright alright yahyahyah yahyah ¡farru pero cuando yo me muera no quiero que traigan flore traigan un gancho de black label ¡blep y una caja e blone una libra e marihuana y que pongan toas mis cancione jajajaja to el mundo vacilando arriba los blones priyahyah todo el barrio en fiesta hoy to el mundo se amanece aquí nadie se acuesta lara mercy gang y la familia contenta yo siempre velaré por ustedes ténganlo en cuenta ¡pupupupum vendan mis carro los reloje y las cadena que eso es material y esa mierda uno no se lleva disfruten de la vida y hagan pila e cosas buena siempre estaré presente cuando mi música suena ¡blep suena uh dry your eyes for me no tears for me just smile out dry your eyes for me celebrate my life make this a celebration celebration for me life make this a celebration life na its gonna be alright alright alright alright alright alright its gonna be alright alright alright alright alright alright ey put your worries in the wind smile its where the good times begin ey and dont cry for a soldier cause the war is not over give a toast to the good days they join to shine in the sun rays live love and be strong memories gonna lives on not here but not gone no life still goes on so smoke one for me levanten las manos y súbanlos feliz so smoke one for me levanten las manos y súbanlos feliz and dont worry bout a thing cause everythings gonna be alright uh dry your eyes for me yah no tears for me just smile out dry your eyes for me celebrate my life make this a celebration celebration for life make this a celebration celebration for life its gonna be alright alright alright alright alright alright its gonna be alright alright alright alright alright alright celebration for life uhuh uhuhuh akon kymani farruko uhuh uhuhuh¡farru maffio sharo towers  lara mercy gang uhuh uhuhuh¡gangalee
254,Delinquent Habits,California,0,latin,checkin in from the left coast where we take sound that combines sunshine with rhyme and move around we take it slow watch the smoke we blow bringing california swing in this thing fa sho well hey there babydoll dance the go go off a little mentally i see it in slow mo hollywood the east side hub city to frisco calles to the playa fiyas up in the disco wooh oh woh now here we go mira delinquentes bum rush the show aqui in cali where trees so sweet and these habits is feeling irie on this ruck p beat and on summer nights we move our feet keeping in mind the danger walking on these la streets so with eyes that reflect as the waves hit shore and through the smoke of the green you seen burn next door and where the birds sing but they dont tell the truth no more and the streets hot so truth is better lock your door days is hot nights get hotter fathers better watch your daughters days get longer nights get shorter remember the police got quotas city of angels here even angels watch they angles living in california showing nothing but love bringing peace when the push turn shove now you can bury me out in the back el californio right beside a cactus plant damn right sporting some corn rolls i be the vato with the bomb ass green from the left coast seny sosa out here living fresco all is good from the ready and a set go but if you illing im dropping that left bro south gate california what its all about homies from the hill is who im shouting out we all ogs veteranos putting work in for a chingo de anos and it dont ease up or slow down still getting money when we come around you know whats up we delinquente twenty five years i been familia with these gente check me out on they new lp tequila and shots and the jetfuel trees ragtop down on a 63 glock 17 and the ocean breeze days is hot nights get hotter fathers better watch your daughters days get longer nights get shorter remember the police got quotas city of angels here even angels watch they angles living in california showing nothing but love bringing peace when the push turn shove these days the sea shore i see a little bit more but i still love botella reflections plus more i love breeze long laughs guitar chords old blues reggae too click clack of skateboards whats that thats making me feel this hardcore from the land of the hip hop that yall gon starve for bob your head so hard youll wreck your car for i like money but your love and respect is far more asi lo es sur califa te aplacan a prisa saliendo de la barra o saliendo de misa putem down no frown deja ver la sonrisa no beef in the party but im killing the pista from the underground so im turning the milpa reignite the whole scene cause im bringing the chispa been around the world pero aqui mero rifa deeply rooted right here tu sabes en califa days is hot nights get hotter fathers better watch your daughters days get longer nights get shorter remember the police got quotas city of angels here even angels watch they angles living in california showing nothing but love bringing peace when the push turn shove
